weight,strategy,stop_loss,bear_alloc,bull_sr,bull_dd,bull_ret,bear_sr,bear_dd,bear_wr,bear_trades,bull_rebal,bear_rebal,passed
Valuation,Signal_5d,-0.1,0.5,0.817,8.19,15.08,0.512,11.19,0.0,3,1,1,False
Valuation,Signal_5d,-0.15,0.3,0.71,4.8,8.34,0.6,6.58,0.0,2,1,1,False
Valuation,Signal_5d,-0.15,0.5,0.73,7.68,13.9,0.629,10.57,0.0,2,1,1,False
Valuation,Signal_5d,-0.25,0.3,0.727,5.18,9.13,0.397,6.69,0.0,2,1,1,False
Valuation,Signal_5d,-0.25,0.5,0.747,8.28,15.22,0.425,10.83,0.0,2,1,1,False
Valuation,Signal_10d,-0.1,0.3,0.797,5.13,9.04,0.483,7.0,0.0,3,1,1,False
Valuation,Signal_10d,-0.1,0.5,0.817,8.19,15.08,0.512,11.19,0.0,3,1,1,False
Valuation,Signal_10d,-0.15,0.3,0.71,4.8,8.34,0.6,6.58,0.0,2,1,1,False
Valuation,Signal_10d,-0.15,0.5,0.73,7.68,13.9,0.629,10.57,0.0,2,1,1,False
Valuation,Signal_10d,-0.25,0.3,0.727,5.18,9.13,0.397,6.69,0.0,2,1,1,False
Valuation,Signal_10d,-0.25,0.5,0.747,8.28,15.22,0.425,10.83,0.0,2,1,1,False
Valuation,Hybrid_20d,-0.1,0.3,0.797,5.13,9.04,0.483,7.0,0.0,3,1,1,False
Valuation,Hybrid_20d,-0.1,0.5,0.817,8.19,15.08,0.512,11.19,0.0,3,1,1,False
Valuation,Hybrid_20d,-0.15,0.3,0.71,4.8,8.34,0.6,6.58,0.0,2,1,1,False
Valuation,Hybrid_20d,-0.15,0.5,0.73,7.68,13.9,0.629,10.57,0.0,2,1,1,False
Valuation,Hybrid_20d,-0.25,0.3,0.727,5.18,9.13,0.397,6.69,0.0,2,1,1,False
Valuation,Hybrid_20d,-0.25,0.5,0.747,8.28,15.22,0.425,10.83,0.0,2,1,1,False
Valuation,Adaptive,-0.1,0.3,1.644,13.06,68.41,-1.3,12.2,36.1,36,18,8,False
Valuation,Adaptive,-0.1,0.5,1.663,13.06,70.79,-1.092,16.46,36.1,36,18,8,False
Valuation,Adaptive,-0.15,0.3,1.729,13.92,77.91,-0.851,10.95,45.7,35,18,8,True
Valuation,Adaptive,-0.15,0.5,1.74,13.92,80.01,-0.663,14.45,45.7,35,18,8,True
Valuation,Adaptive,-0.25,0.3,1.79,10.9,85.1,-0.966,10.82,51.4,35,18,8,True
Valuation,Adaptive,-0.25,0.5,1.801,10.9,87.35,-0.799,16.65,51.4,35,18,8,True
